word,colour,congruent,correctAns,n,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response.started_mean,response.started_raw,response.started_std,response.stopped_raw,target.started_mean,target.started_raw,target.started_std,target.stopped_raw,order
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.9653156399726868,0.9653156399726868,0.0,41.30238342285156,41.30238342285156,0.0,,41.30238342285156,41.30238342285156,0.0,,21.0
red,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',0.6079153418540955,0.6079153418540955,0.0,36.21707534790039,36.21707534790039,0.0,,36.21707534790039,36.21707534790039,0.0,,17.0
green,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.8019024729728699,0.8019024729728699,0.0,19.34215545654297,19.34215545654297,0.0,,19.34215545654297,19.34215545654297,0.0,,7.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',1.0390385389328003,1.0390385389328003,0.0,34.666019439697266,34.666019439697266,0.0,,34.666019439697266,34.666019439697266,0.0,,16.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.3732602298259735,0.3732602298259735,0.0,12.604917526245117,12.604917526245117,0.0,,12.604917526245117,12.604917526245117,0.0,,1.0
blue,red,0.0,left,1.0,0.0,0.0,0.0,'left',0.5647295713424683,0.5647295713424683,0.0,40.23695373535156,40.23695373535156,0.0,,40.23695373535156,40.23695373535156,0.0,,20.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.7475206851959229,0.7475206851959229,0.0,42.78599548339844,42.78599548339844,0.0,,42.78599548339844,42.78599548339844,0.0,,22.0
blue,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.8023545145988464,0.8023545145988464,0.0,37.35149002075195,37.35149002075195,0.0,,37.35149002075195,37.35149002075195,0.0,,18.0
blue,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.293329119682312,1.293329119682312,0.0,27.081096649169922,27.081096649169922,0.0,,27.081096649169922,27.081096649169922,0.0,,11.0
red,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.5452980995178223,0.5452980995178223,0.0,16.824691772460938,16.824691772460938,0.0,,16.824691772460938,16.824691772460938,0.0,,5.0
yellow,red,0.0,left,1.0,0.0,0.0,0.0,'left',1.7833268642425537,1.7833268642425537,0.0,20.66042137145996,20.66042137145996,0.0,,20.66042137145996,20.66042137145996,0.0,,8.0
green,red,0.0,left,1.0,0.0,0.0,0.0,'right',0.6538770794868469,0.6538770794868469,0.0,30.330379486083984,30.330379486083984,0.0,,30.330379486083984,30.330379486083984,0.0,,13.0
green,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',0.9420081377029419,0.9420081377029419,0.0,17.893943786621094,17.893943786621094,0.0,,17.893943786621094,17.893943786621094,0.0,,6.0
red,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.6818252205848694,0.6818252205848694,0.0,13.506475448608398,13.506475448608398,0.0,,13.506475448608398,13.506475448608398,0.0,,2.0
yellow,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.9171552658081055,0.9171552658081055,0.0,28.896203994750977,28.896203994750977,0.0,,28.896203994750977,28.896203994750977,0.0,,12.0
yellow,green,0.0,right,1.0,0.0,0.0,0.0,'right',1.4790414571762085,1.4790414571762085,0.0,32.66489791870117,32.66489791870117,0.0,,32.66489791870117,32.66489791870117,0.0,,15.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.48754435777664185,0.48754435777664185,0.0,44.053955078125,44.053955078125,0.0,,44.053955078125,44.053955078125,0.0,,23.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',1.2429924011230469,1.2429924011230469,0.0,25.327457427978516,25.327457427978516,0.0,,25.327457427978516,25.327457427978516,0.0,,10.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',1.8662641048431396,1.8662641048431396,0.0,22.94342803955078,22.94342803955078,0.0,,22.94342803955078,22.94342803955078,0.0,,9.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',0.6072470545768738,0.6072470545768738,0.0,15.68974781036377,15.68974781036377,0.0,,15.68974781036377,15.68974781036377,0.0,,4.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.9479736089706421,0.9479736089706421,0.0,11.15543270111084,11.15543270111084,0.0,,11.15543270111084,11.15543270111084,0.0,,0.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.46385830640792847,0.46385830640792847,0.0,14.706307411193848,14.706307411193848,0.0,,14.706307411193848,14.706307411193848,0.0,,3.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',1.0497721433639526,1.0497721433639526,0.0,38.667972564697266,38.667972564697266,0.0,,38.667972564697266,38.667972564697266,0.0,,19.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'right',0.6439538598060608,0.6439538598060608,0.0,31.49738311767578,31.49738311767578,0.0,,31.49738311767578,31.49738311767578,0.0,,14.0

extraInfo
participant,1
session,001
date,2021_Aug_11_1751
expName,arl-stroop
psychopyVersion,2021.2.1
frameRate,59.728700293381706
