word,colour,congruent,correctAns,n,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response.started_mean,response.started_raw,response.started_std,response.stopped_raw,target.started_mean,target.started_raw,target.started_std,target.stopped_raw,order
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.5809491872787476,0.5809491872787476,0.0,23.555015563964844,23.555015563964844,0.0,,23.555015563964844,23.555015563964844,0.0,,11.0
red,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',0.5342833399772644,0.5342833399772644,0.0,28.741493225097656,28.741493225097656,0.0,,28.741493225097656,28.741493225097656,0.0,,15.0
green,blue,0.0,up,1.0,0.0,0.0,0.0,'up',1.0646593570709229,1.0646593570709229,0.0,29.774002075195312,29.774002075195312,0.0,,29.774002075195312,29.774002075195312,0.0,,16.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',0.8898829221725464,0.8898829221725464,0.0,11.548760414123535,11.548760414123535,0.0,,11.548760414123535,11.548760414123535,0.0,,1.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',1.2131835222244263,1.2131835222244263,0.0,9.799331665039062,9.799331665039062,0.0,,9.799331665039062,9.799331665039062,0.0,,0.0
blue,red,0.0,left,1.0,0.0,0.0,0.0,'left',1.030861735343933,1.030861735343933,0.0,36.94435119628906,36.94435119628906,0.0,,36.94435119628906,36.94435119628906,0.0,,20.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.43801677227020264,0.43801677227020264,0.0,15.452659606933594,15.452659606933594,0.0,,15.452659606933594,15.452659606933594,0.0,,4.0
blue,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.6310918927192688,0.6310918927192688,0.0,20.538122177124023,20.538122177124023,0.0,,20.538122177124023,20.538122177124023,0.0,,8.0
blue,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.0935733318328857,1.0935733318328857,0.0,27.123943328857422,27.123943328857422,0.0,,27.123943328857422,27.123943328857422,0.0,,14.0
red,green,0.0,right,1.0,0.0,0.0,0.0,'right',1.8135277032852173,1.8135277032852173,0.0,31.34195899963379,31.34195899963379,0.0,,31.34195899963379,31.34195899963379,0.0,,17.0
yellow,red,0.0,left,1.0,0.0,0.0,0.0,'left',0.4878380298614502,0.4878380298614502,0.0,40.96237564086914,40.96237564086914,0.0,,40.96237564086914,40.96237564086914,0.0,,23.0
green,red,0.0,left,1.0,0.0,0.0,0.0,'left',0.737666130065918,0.737666130065918,0.0,39.713523864746094,39.713523864746094,0.0,,39.713523864746094,39.713523864746094,0.0,,22.0
green,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.7109187841415405,1.7109187841415405,0.0,33.67539596557617,33.67539596557617,0.0,,33.67539596557617,33.67539596557617,0.0,,18.0
red,blue,0.0,up,1.0,0.0,0.0,0.0,'up',1.0206025838851929,1.0206025838851929,0.0,25.589372634887695,25.589372634887695,0.0,,25.589372634887695,25.589372634887695,0.0,,13.0
yellow,blue,0.0,up,1.0,0.0,0.0,0.0,'up',0.9598158597946167,0.9598158597946167,0.0,12.93272590637207,12.93272590637207,0.0,,12.93272590637207,12.93272590637207,0.0,,2.0
yellow,green,0.0,right,1.0,0.0,0.0,0.0,'right',0.9152987599372864,0.9152987599372864,0.0,19.10299301147461,19.10299301147461,0.0,,19.10299301147461,19.10299301147461,0.0,,7.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.9386964440345764,0.9386964440345764,0.0,17.652143478393555,17.652143478393555,0.0,,17.652143478393555,17.652143478393555,0.0,,6.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',0.5330480337142944,0.5330480337142944,0.0,35.91127395629883,35.91127395629883,0.0,,35.91127395629883,35.91127395629883,0.0,,19.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',0.6959433555603027,0.6959433555603027,0.0,38.49515151977539,38.49515151977539,0.0,,38.49515151977539,38.49515151977539,0.0,,21.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'right',0.409906268119812,0.409906268119812,0.0,24.65593910217285,24.65593910217285,0.0,,24.65593910217285,24.65593910217285,0.0,,12.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.4603409469127655,0.4603409469127655,0.0,22.587661743164062,22.587661743164062,0.0,,22.587661743164062,22.587661743164062,0.0,,10.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.3885469138622284,0.3885469138622284,0.0,21.688302993774414,21.688302993774414,0.0,,21.688302993774414,21.688302993774414,0.0,,9.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.5208425521850586,0.5208425521850586,0.0,14.41997241973877,14.41997241973877,0.0,,14.41997241973877,14.41997241973877,0.0,,3.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.7407591342926025,0.7407591342926025,0.0,16.384729385375977,16.384729385375977,0.0,,16.384729385375977,16.384729385375977,0.0,,5.0

extraInfo
participant,1
session,001
date,2021_Aug_11_0651
expName,arl-stroop
psychopyVersion,2021.2.1
frameRate,60.03840151800377
