word,colour,congruent,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WelcomeText.started,WelcomeText.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,text.started,text.stopped,endResponse.keys,endResponse.rt,endResponse.started,endResponse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
green,green,1.0,right,0,0,0,20,9.39921225400758,None,11.1554323269811,None,right,0,0.9479736239882186,11.1554323269811,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
green,green,1.0,right,0,1,1,4,,,12.604917977994774,None,right,0,0.373260228021536,12.604917977994774,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
red,blue,0.0,up,0,2,2,13,,,13.506475481000962,None,up,0,0.6818252080120146,13.506475481000962,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
green,green,1.0,right,0,3,3,21,,,14.706307018990628,None,right,0,0.4638583140040282,14.706307018990628,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
yellow,yellow,1.0,down,0,4,4,19,,,15.68974745000014,None,down,0,0.6072470810031518,15.68974745000014,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
red,green,0.0,right,0,5,5,9,,,16.824691310990602,None,right,0,0.5452980789996218,16.824691310990602,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
green,yellow,0.0,down,0,6,6,12,,,17.893943495000713,None,down,0,0.9420081160205882,17.893943495000713,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
green,blue,0.0,up,0,7,7,2,,,19.34215489498456,None,up,0,0.8019024630193599,19.34215489498456,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
yellow,red,0.0,left,0,8,8,10,,,20.66042147600092,None,left,0,1.7833268840040546,20.66042147600092,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
yellow,yellow,1.0,down,0,9,9,18,,,22.943428352999035,None,down,0,1.8662640590046067,22.943428352999035,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
blue,blue,1.0,up,0,10,10,17,,,25.327458002982894,None,up,0,1.2429923809831962,25.327458002982894,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
blue,yellow,0.0,down,0,11,11,8,,,27.08109734999016,None,down,0,1.2933291249792092,27.08109734999016,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
yellow,blue,0.0,up,0,12,12,14,,,28.89620367399766,None,up,0,0.9171552459883969,28.89620367399766,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
green,red,0.0,left,0,13,13,11,,,30.3303802649898,None,right,0,0.6538770839979406,30.3303802649898,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
red,red,1.0,left,0,14,14,23,,,31.497383057983825,None,right,0,0.6439538470003754,31.497383057983825,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
yellow,green,0.0,right,0,15,15,15,,,32.664897462993395,None,right,0,1.479041493992554,32.664897462993395,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
yellow,yellow,1.0,down,0,16,16,3,,,34.66601843998069,None,down,0,1.0390385380014777,34.66601843998069,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
red,yellow,0.0,down,0,17,17,1,,,36.21707390798838,None,down,0,0.6079153690079693,36.21707390798838,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
blue,green,0.0,right,0,18,18,7,,,37.35149132498191,None,right,0,0.8023545399773866,37.35149132498191,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
red,red,1.0,left,0,19,19,22,,,38.66797208299977,None,left,0,1.0497721919964533,38.66797208299977,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
blue,red,0.0,left,0,20,20,5,,,40.236953152983915,None,left,0,0.5647295959934127,40.236953152983915,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
blue,blue,1.0,up,0,21,21,0,,,41.302383839996764,None,up,0,0.9653156390122604,41.302383839996764,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
red,red,1.0,left,0,22,22,6,,,42.785994151985506,None,left,0,0.7475206719827838,42.785994151985506,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
blue,blue,1.0,up,0,23,23,16,,,44.05395575799048,None,up,0,0.48754437000025064,44.05395575799048,None,,,,,,,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
,,,,,,,,,,,,,,,,,44.62024800700601,None,space,0.8791910640138667,44.62024800700601,None,1,001,2021_Aug_11_1751,arl-stroop,2021.2.1,59.728700293381706,
