word,colour,congruent,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WelcomeText.started,WelcomeText.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,text.started,text.stopped,endResponse.keys,endResponse.rt,endResponse.started,endResponse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
yellow,red,0.0,left,0,0,0,10,9.185534235992236,None,59.42067907800083,None,left,0,17.438644757989096,59.42067907800083,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
green,green,1.0,right,0,1,1,4,,,77.39438777999021,None,right,0,2.5277955520141404,77.39438777999021,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
red,blue,0.0,up,0,2,2,13,,,80.445054470998,None,up,0,4.029232696979307,80.445054470998,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
green,blue,0.0,up,0,3,3,2,,,84.98424757999601,None,up,0,5.399920705996919,84.98424757999601,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
yellow,yellow,1.0,down,0,4,4,3,,,90.88426849499228,None,down,0,2.455559035995975,90.88426849499228,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
blue,blue,1.0,up,0,5,5,0,,,93.85290428099688,None,up,0,2.1216532649996225,93.85290428099688,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
green,green,1.0,right,0,6,6,20,,,96.48751000798075,None,right,0,1.7049161159957293,96.48751000798075,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
blue,yellow,0.0,down,0,7,7,8,,,98.7218713729817,None,down,0,3.324401146004675,98.7218713729817,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
yellow,green,0.0,right,0,8,8,15,,,102.57319980999455,None,right,0,2.900919089006493,102.57319980999455,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
green,red,0.0,left,0,9,9,11,,,105.97514401798253,None,left,0,5.321917279012268,105.97514401798253,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
blue,green,0.0,right,0,10,10,7,,,111.81041691298014,None,right,0,2.2301001560117584,111.81041691298014,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
blue,blue,1.0,up,0,11,11,16,,,114.5464100340032,None,up,0,1.2852415940142237,114.5464100340032,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
red,red,1.0,left,0,12,12,22,,,116.34944882098353,None,left,0,1.0381341569882352,116.34944882098353,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
blue,red,0.0,left,0,13,13,5,,,117.89722297398839,None,left,0,2.1740331439941656,117.89722297398839,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
red,green,0.0,right,0,14,14,9,,,120.58150776498951,None,right,0,2.145747029018821,120.58150776498951,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
blue,blue,1.0,up,0,15,15,17,,,123.23460471598082,None,up,0,1.0134878589888103,123.23460471598082,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
red,red,1.0,left,0,16,16,23,,,124.75065530999564,None,left,0,1.7794017620035447,124.75065530999564,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
yellow,blue,0.0,up,0,17,17,14,,,127.0346678319911,None,up,0,1.0222779500181787,127.0346678319911,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
yellow,yellow,1.0,down,0,18,18,19,,,128.55173024800024,None,down,0,1.4029606230033096,128.55173024800024,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
yellow,yellow,1.0,down,0,19,19,18,,,130.46968739898875,None,down,0,0.8930799209920224,130.46968739898875,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
green,green,1.0,right,0,20,20,21,,,131.8702765509952,None,right,0,0.76147677298286,131.8702765509952,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
red,red,1.0,left,0,21,21,6,,,133.13884835899808,None,left,0,0.8216560010041576,133.13884835899808,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
green,yellow,0.0,down,0,22,22,12,,,134.4882023659884,None,down,0,1.9062942099990323,134.4882023659884,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
red,yellow,0.0,down,0,23,23,1,,,136.90594553097617,None,down,0,1.3594623130047694,136.90594553097617,None,,,,,,,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
,,,,,,,,,,,,,,,,,138.3582746339962,140.37421282098512,space,9.777384638990043,138.3582746339962,None,1,001,2021_Aug_11_2025,arl-stroop,2021.2.1,61.13705556708475,
