word,colour,congruent,correctAns,n,response.corr_mean,response.corr_raw,response.corr_std,response.keys_raw,response.rt_mean,response.rt_raw,response.rt_std,response.started_mean,response.started_raw,response.started_std,response.stopped_raw,target.started_mean,target.started_raw,target.started_std,target.stopped_raw,order
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',2.1216533184051514,2.1216533184051514,0.0,93.8529052734375,93.8529052734375,0.0,,93.8529052734375,93.8529052734375,0.0,,5.0
red,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.3594622611999512,1.3594622611999512,0.0,136.90594482421875,136.90594482421875,0.0,,136.90594482421875,136.90594482421875,0.0,,23.0
green,blue,0.0,up,1.0,0.0,0.0,0.0,'up',5.39992094039917,5.39992094039917,0.0,84.98424530029297,84.98424530029297,0.0,,84.98424530029297,84.98424530029297,0.0,,3.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',2.455559015274048,2.455559015274048,0.0,90.88426971435547,90.88426971435547,0.0,,90.88426971435547,90.88426971435547,0.0,,4.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',2.5277955532073975,2.5277955532073975,0.0,77.3943862915039,77.3943862915039,0.0,,77.3943862915039,77.3943862915039,0.0,,1.0
blue,red,0.0,left,1.0,0.0,0.0,0.0,'left',2.1740331649780273,2.1740331649780273,0.0,117.89722442626953,117.89722442626953,0.0,,117.89722442626953,117.89722442626953,0.0,,13.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',0.8216559886932373,0.8216559886932373,0.0,133.13885498046875,133.13885498046875,0.0,,133.13885498046875,133.13885498046875,0.0,,21.0
blue,green,0.0,right,1.0,0.0,0.0,0.0,'right',2.230100154876709,2.230100154876709,0.0,111.81041717529297,111.81041717529297,0.0,,111.81041717529297,111.81041717529297,0.0,,10.0
blue,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',3.3244011402130127,3.3244011402130127,0.0,98.72187042236328,98.72187042236328,0.0,,98.72187042236328,98.72187042236328,0.0,,7.0
red,green,0.0,right,1.0,0.0,0.0,0.0,'right',2.145746946334839,2.145746946334839,0.0,120.58150482177734,120.58150482177734,0.0,,120.58150482177734,120.58150482177734,0.0,,14.0
yellow,red,0.0,left,1.0,0.0,0.0,0.0,'left',17.438644409179688,17.438644409179688,0.0,59.420677185058594,59.420677185058594,0.0,,59.420677185058594,59.420677185058594,0.0,,0.0
green,red,0.0,left,1.0,0.0,0.0,0.0,'left',5.3219170570373535,5.3219170570373535,0.0,105.97514343261719,105.97514343261719,0.0,,105.97514343261719,105.97514343261719,0.0,,9.0
green,yellow,0.0,down,1.0,0.0,0.0,0.0,'down',1.9062942266464233,1.9062942266464233,0.0,134.4882049560547,134.4882049560547,0.0,,134.4882049560547,134.4882049560547,0.0,,22.0
red,blue,0.0,up,1.0,0.0,0.0,0.0,'up',4.029232501983643,4.029232501983643,0.0,80.44505310058594,80.44505310058594,0.0,,80.44505310058594,80.44505310058594,0.0,,2.0
yellow,blue,0.0,up,1.0,0.0,0.0,0.0,'up',1.0222779512405396,1.0222779512405396,0.0,127.03466796875,127.03466796875,0.0,,127.03466796875,127.03466796875,0.0,,17.0
yellow,green,0.0,right,1.0,0.0,0.0,0.0,'right',2.900919198989868,2.900919198989868,0.0,102.57319641113281,102.57319641113281,0.0,,102.57319641113281,102.57319641113281,0.0,,8.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',1.2852416038513184,1.2852416038513184,0.0,114.5464096069336,114.5464096069336,0.0,,114.5464096069336,114.5464096069336,0.0,,11.0
blue,blue,1.0,up,1.0,0.0,0.0,0.0,'up',1.0134878158569336,1.0134878158569336,0.0,123.23460388183594,123.23460388183594,0.0,,123.23460388183594,123.23460388183594,0.0,,15.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',0.893079936504364,0.893079936504364,0.0,130.4696807861328,130.4696807861328,0.0,,130.4696807861328,130.4696807861328,0.0,,19.0
yellow,yellow,1.0,down,1.0,0.0,0.0,0.0,'down',1.4029606580734253,1.4029606580734253,0.0,128.55172729492188,128.55172729492188,0.0,,128.55172729492188,128.55172729492188,0.0,,18.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',1.7049161195755005,1.7049161195755005,0.0,96.48751068115234,96.48751068115234,0.0,,96.48751068115234,96.48751068115234,0.0,,6.0
green,green,1.0,right,1.0,0.0,0.0,0.0,'right',0.7614767551422119,0.7614767551422119,0.0,131.87026977539062,131.87026977539062,0.0,,131.87026977539062,131.87026977539062,0.0,,20.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',1.0381340980529785,1.0381340980529785,0.0,116.34944915771484,116.34944915771484,0.0,,116.34944915771484,116.34944915771484,0.0,,12.0
red,red,1.0,left,1.0,0.0,0.0,0.0,'left',1.7794017791748047,1.7794017791748047,0.0,124.75065612792969,124.75065612792969,0.0,,124.75065612792969,124.75065612792969,0.0,,16.0

extraInfo
participant,1
session,001
date,2021_Aug_11_2025
expName,arl-stroop
psychopyVersion,2021.2.1
frameRate,61.13705556708475
