0.9684 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.9615 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([255, 255, 255]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8e5dfb5a58>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8e5deab630>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([2560, 1600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9619 	EXP 	window1: mouseVisible = True
6.9620 	EXP 	window1: recordFrameIntervals = False
7.1252 	EXP 	window1: recordFrameIntervals = True
7.2210 	WARNING 	t of last frame was 27.00ms (=1/37)
7.2586 	WARNING 	t of last frame was 24.46ms (=1/40)
7.7442 	EXP 	window1: recordFrameIntervals = False
8.6699 	EXP 	Created WelcomeText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='WelcomeText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.8305 	EXP 	Created target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='target', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
8.9967 	EXP 	Created instructBar = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='instructBar', opacity=1, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.0216 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you! \nPress SPACE to close.\n', units='height', win=Window(...), wrapWidth=1)
9.1855 	EXP 	WelcomeText: autoDraw = True
58.9175 	EXP 	Imported arl-conditions.xlsx as conditions, 24 conditions, 4 params
58.9203 	EXP 	Created sequence: random, trialTypes=24, nReps=1, seed=None
58.9207 	EXP 	New trial (rep=0, index=0): {'word': 'yellow', 'colour': 'red', 'congruent': 0.0, 'correctAns': 'left'}
58.9273 	DATA 	Keypress: space
58.9390 	EXP 	WelcomeText: autoDraw = False
58.9390 	EXP 	target: text = 'yellow'
59.4207 	EXP 	target: autoDraw = True
59.4207 	EXP 	instructBar: autoDraw = True
76.8743 	DATA 	Keypress: left
76.8897 	EXP 	New trial (rep=0, index=1): {'word': 'green', 'colour': 'green', 'congruent': 1.0, 'correctAns': 'right'}
76.9071 	EXP 	target: autoDraw = False
76.9071 	EXP 	instructBar: autoDraw = False
76.9071 	EXP 	target: text = 'green'
77.3944 	EXP 	target: autoDraw = True
77.3944 	EXP 	instructBar: autoDraw = True
79.9347 	EXP 	New trial (rep=0, index=2): {'word': 'red', 'colour': 'blue', 'congruent': 0.0, 'correctAns': 'up'}
79.9423 	DATA 	Keypress: right
79.9531 	EXP 	target: autoDraw = False
79.9531 	EXP 	instructBar: autoDraw = False
79.9531 	EXP 	target: text = 'red'
80.4451 	EXP 	target: autoDraw = True
80.4451 	EXP 	instructBar: autoDraw = True
84.4865 	EXP 	New trial (rep=0, index=3): {'word': 'green', 'colour': 'blue', 'congruent': 0.0, 'correctAns': 'up'}
84.4927 	DATA 	Keypress: up
84.5033 	EXP 	target: autoDraw = False
84.5033 	EXP 	instructBar: autoDraw = False
84.5033 	EXP 	target: text = 'green'
84.9842 	EXP 	target: autoDraw = True
84.9842 	EXP 	instructBar: autoDraw = True
90.3879 	EXP 	New trial (rep=0, index=4): {'word': 'yellow', 'colour': 'yellow', 'congruent': 1.0, 'correctAns': 'down'}
90.3967 	DATA 	Keypress: up
90.4056 	EXP 	target: autoDraw = False
90.4056 	EXP 	instructBar: autoDraw = False
90.4056 	EXP 	target: text = 'yellow'
90.8843 	EXP 	target: autoDraw = True
90.8843 	EXP 	instructBar: autoDraw = True
93.3542 	EXP 	New trial (rep=0, index=5): {'word': 'blue', 'colour': 'blue', 'congruent': 1.0, 'correctAns': 'up'}
93.3592 	DATA 	Keypress: down
93.3720 	EXP 	target: autoDraw = False
93.3720 	EXP 	instructBar: autoDraw = False
93.3720 	EXP 	target: text = 'blue'
93.8529 	EXP 	target: autoDraw = True
93.8529 	EXP 	instructBar: autoDraw = True
95.9907 	EXP 	New trial (rep=0, index=6): {'word': 'green', 'colour': 'green', 'congruent': 1.0, 'correctAns': 'right'}
95.9967 	DATA 	Keypress: up
96.0075 	EXP 	target: autoDraw = False
96.0075 	EXP 	instructBar: autoDraw = False
96.0075 	EXP 	target: text = 'green'
96.4875 	EXP 	target: autoDraw = True
96.4875 	EXP 	instructBar: autoDraw = True
98.1970 	DATA 	Keypress: right
